Band	Genre	Status	City	State
Absens	Progressive Metal	Active	Porto Alegre	Rio Grande do Sul
Absent	Psychedelic Doom Metal	Active	Brasília	Distrito Federal
Absent Heat	Experimental/Depressive Black Metal	Active	Belo Horizonte	Minas Gerais
Abske Fides	Black/Funeral Doom Metal	Active	São Paulo	São Paulo
Absolem	Thrash/Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Absolute Disgrace	Technical Death Metal/Grindcore	Split-up	Belo Horizonte	Minas Gerais
Absoluto Poder	Death/Thrash Metal	Split-up	São Paulo	São Paulo
Abstract	Technical Thrash Metal	Active	Juiz de Fora	Minas Gerais
Abstract	Heavy/Thrash Metal	Split-up	Anápolis	Goiás
Abstract Shadows	Progressive Heavy Metal	Active	São Paulo	São Paulo
Abstracted	Technical Thrash Metal (early); Progressive Death Metal (later)	Active	São Paulo	São Paulo
Absurdium	Death Metal	Active	Americana	São Paulo
Absyde	Black Metal	Active	São Caetano do Sul	São Paulo
Absyntho	Progressive Metal	Active	Curitiba	Paraná
Abuso Verbal	Thrash Metal/Grindcore	Active	Mandaguaçu	Paraná
Abutre	Heavy Metal	Active	São Paulo	São Paulo
Abygor	Black Metal	Split-up	São José do Rio Preto	São Paulo
Abysmal Forest	Black Metal	Active	Lavras	Minas Gerais
Abysmal Forest	Black Metal	Split-up	Teresina	Piauí
Abysmer	Heavy Metal	Unknown	São Paulo	São Paulo
Abyss of Darkness	Death Metal	Split-up	Jaboatão dos Guararapes	Pernambuco
Abyssal	Thrash Metal	Split-up	Oliveira	Minas Gerais
Abyssal Agony	Death Metal	Active	Conselheiro Lafaiete	Minas Gerais
Abyssal Forest	Atmospheric Black Metal	Active	Palmas	Tocantins
Abyssal Manifesto	Thrash Metal	Active	Belo Horizonte	Minas Gerais
Abyssal Pain	Black Metal/Ambient	Active	Angra dos Reis	Rio de Janeiro
Abyssal Storm	Thrash/Groove Metal	Active	Catanduva	São Paulo
Abyssal Temple	Black Metal	Active		
Abyssall	Melodic Death Metal	Split-up	Londrina	Paraná
Abyssum	Black Metal	Unknown	Patos de Minas	Minas Gerais
AbyssvMoon	Black Metal	Active	Parapuã	São Paulo
Acacia Crown	Avant-garde/Folk/Melodic Black Metal	Active	São Paulo	São Paulo
Acanon	Melodic Death Metal	Active	Salvador	Bahia
Ação Extrema	Thrash Metal/RAC	Active		
Ação Libertária	Crossover/Thrash Metal	Active	Natal	Rio Grande do Norte
Accipiter	Heavy Metal	Active	São Paulo	São Paulo
Accubitorium	Black Metal	Active	Gaspar	Santa Catarina
Acefalia	Death Metal	Split-up	Joinville	Santa Catarina
Acid Angel	Thrash Metal	Split-up	São Bernardo do Campo	São Paulo
Acid Blood	Thrash Metal	Active	Brasília	Distrito Federal
Acid Brigade	Thrash Metal	Split-up	Londrina	Paraná
Acid Funeral	Black/Doom Metal	Active		
Acid Speech	Thrash Metal	On hold	Brasília	Distrito Federal
Acid Storm	Thrash Metal	Active	São Paulo	São Paulo
Acid Void	Black/Speed/Thrash Metal	Split-up	São Lourenço	Minas Gerais
Acid Words	Death Metal/Grindcore	Active	Rio de Janeiro	Rio de Janeiro
Acidemia	Stoner/Doom Metal	Active	Lages	Santa Catarina
Ácido	Thrash Metal	Split-up	São Luis	Maranhão
Aclla	Power Metal	Split-up	São Paulo	São Paulo
Aço Negro	Melodic Death Metal	Active	Duque de Caxias	Rio de Janeiro
Açoite	Death Metal	Active	São Luis	Maranhão
Açoite	Death/Thrash Metal	Active	São Paulo	São Paulo
Acranis	Thrash/Death Metal	Unknown	Fortaleza	Ceará
Acron	Heavy/Progressive Metal	Split-up	Campinas	São Paulo
Acrópole	Black Metal	Active	Dourados	Mato Grosso do Sul
Across	Death Metal	Unknown	Dourados	Mato Grosso do Sul
Act of Revenge	Groove/Death Metal/Deathcore	Active	Salvador	Bahia
Acta Perverse	Blackened Death/Doom Metal	Active	João Pessoa	Paraíba
Actum Est	Black Metal	Active	Minas Gerais	
Acustic Neuroma	Grindcore/Black Metal	Active	Presidente Prudente	São Paulo
Ad Aeternum	Raw Black Metal	Active	Aracaju	Sergipe
Ad Baculum	Black Metal	Active	Salvador	Bahia
Ad Extremum	Black Metal	Active	Brasília	Distrito Federal
Ad Gloriam	Black Metal	Active	Osasco	São Paulo
Ad Inferi	Symphonic Metal	Active	São Paulo	
Ad Inferno	Black Metal	Active		
Ad Lustrum	Ambient/Experimental Drone Doom/Black Metal	Unknown	Belo Horizonte	Minas Gerais
Ad Ominous	Blackened Melodic Death Metal	Active	Bento Gonçalves	Rio Grande do Sul
Ad Pestis	Black Metal/Dark Ambient	Active	São Paulo	
Ad Verita	Power/Progressive Metal	Unknown	Nova Iguaçu	Rio de Janeiro
Adaga	Black Metal	Active	São Paulo	São Paulo
Adagio	Atmospheric Death/Doom Metal	On hold	Araraquara	São Paulo
Adamah	Heavy Metal	Active	Carapicuíba	São Paulo
Addicted to Pain	Heavy Metal/Hard Rock	Split-up	São Paulo	São Paulo
Aderiva	Heavy Metal	Active	Fortaleza	Ceará
Adiastasia	Power Metal	On hold	Campina Grande	Paraíba
Adonifer	Heavy Metal	Active	Campos Novos	Santa Catarina
Adramma	Death Metal/Metalcore	Active	Americana	São Paulo
Adrammelech	Black Metal	Active	Joinville	Santa Catarina
Adriano Arguelho	Heavy Metal/Shred	Active	Campo Grande	Mato Grosso do Sul
Adulfe	Metalcore	Active	Três Lagoas	Mato Grosso do Sul
Adumbrall	Black Metal	Active	Euclides da Cunha	Bahia
Adventunnum	Brutal/Technical Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Adventus	Groove Metal	Split-up	Águas Lindas de Goiás	Goiás
Adviser	Death/Black Metal	Unknown	Anápolis	Goiás
Aegrōtābis	Black Metal	Active	Minas Gerais	
Aeon Prime	Heavy Metal/Hard Rock	Active	São Paulo	São Paulo
Aeri Satur	Black Metal/Ambient	Active	Sorocaba	São Paulo
Aeshma	Black Metal	Split-up	Governador Valadares	Minas Gerais
Aeterna Ordo Mortis	Depressive Black Metal	Active	São Paulo	São Paulo
Aeternus Odium	Black Metal	Active	Campos dos Goytacazes	Rio de Janeiro
Aetherea	Symphonic Power Metal	Active	São Paulo	São Paulo
Afasia	Symphonic Black Metal	Split-up		
Afenic	Heavy Metal	Active	Limeira	São Paulo
Affront	Thrash/Death Metal	Active	Rio de Janeiro	Rio de Janeiro
After	Thrash/Death Metal	Active	Mogi das Cruzes	São Paulo
After:Life	Power Metal	Split-up	São Paulo	São Paulo
Afterage	Progressive Thrash Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Afterbleed Splatter	Black/Death Metal	Active	João Pessoa	Paraíba
Afterdeath	Death/Thrash Metal	Split-up	Vitória	Espírito Santo
Agabahan	Death/Black/Viking Metal	Split-up	Ribeirão Preto	São Paulo
Against Death	Black/Death Metal	Split-up	Recife	Pernambuco
Against Humanity	Atmospheric Black Metal	Active		
Agamenon Project	Grindcore/Death Metal/Crust	Active	Brasília	Distrito Federal
Agape	Black/Doom Metal	Active	Rio de Janeiro	
Agathos	Power/Progressive Metal	Unknown		
Agatta	Progressive Heavy Metal	Split-up	São Paulo	São Paulo
Agaurez	Black Metal	Active	Belo Horizonte	Minas Gerais
Agdron	Death Metal	Split-up	São Paulo	São Paulo
Age Nor Defields	Thrash Metal/Crossover/Hardcore	Active	Mongaguá	São Paulo
Age of Artemis	Progressive Power Metal	Active	Brasília	Distrito Federal
Age of Fear	Heavy Metal	Active	Paulo Afonso	Bahia
Age One	Progressive/Speed/Heavy Metal	Active	Niterói	Rio de Janeiro
Aggresion	Death/Thrash Metal	Active	Campo Grande	Mato Grosso do Sul
Aggression Tales	Thrash Metal	Unknown	São Paulo	São Paulo
Aggressive	Thrash Metal/Crossover	Split-up	Goiânia	Goiás
Aggressor	Death/Thrash Metal	Split-up	Jundiaí	São Paulo
Aggressors	Death/Thrash Metal	Active	Botucatu	São Paulo
Agharta 88	Raw Black Metal	Unknown		
Aghorum	Black Metal	Split-up	Altamira	Pará
Agios Luciferi	Black/Thrash Metal	Active	São Paulo	
Agnata Fides	Black Metal/Ambient	Active	Patos de Minas	Minas Gerais
Agnideva	Black Metal	Active	Campina Grande	Paraíba
Agnozia	Death Metal	Active	Belo Horizonte	Minas Gerais
Agnus	Raw Black Metal	Split-up	Teófilo Otoni	Minas Gerais
Agnus Die	Thrash Metal	Active	Vinhedo	São Paulo
Agnus Negrae	Black Metal	Active	Imabaúbas	Minas Gerais
Ágona	Progressive Death/Thrash Metal	Active	Rio de Janeiro	Rio de Janeiro
Agonia	Black Metal	Active	Recife	Pernambuco
Agoniza	Thrash/Death Metal	Active	São Paulo	São Paulo
Agonize Death	Death Metal	Split-up	Governador Valadares	Minas Gerais
Agônnya	Doom/Black Metal	Active	Maceió	Alagoas
Agony	Thrash Metal	Split-up		
Agony	Thrash Metal	Active	Fortaleza	Ceará
Agony Hell	Black Metal	Active	Campinas	São Paulo
Agony Voices	Death/Doom Metal	Active	Blumenau	Santa Catarina
Agorhy	Death Metal/Grindcore	Active	Rio de Janeiro	Rio de Janeiro
Agouro	Black Metal	Active	São Paulo	São Paulo
Agressive	Thrash Metal	Active	Fortaleza	Ceará
Agressivium	Groove Metal	Active	Fortaleza	Ceará
Agressor	Thrash Metal	On hold	Macaé	Rio de Janeiro
Ahasverus	Heavy/Progressive Metal	Split-up	Arujá	São Paulo
Ahazu	Black Metal	Split-up	São Paulo	São Paulo
Ahiag	Groove Metal	Unknown	São Paulo	São Paulo
Ahrdua	Melodic Progressive/Power Metal	Active	Teresina	Piauí
Ahriman	Death Metal	Split-up	Recife	Pernambuco
Ahura Mazda	Heavy Metal	Active	Pouso Alegre	Minas Gerais
Ain Sof Aur	Black Metal	Active	Brasília	Distrito Federal
Ainur	Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
AirTrain	Heavy Metal/Hard Rock	Active	São Paulo	São Paulo
Airya	Progressive/Power Metal	Split-up	Santa Bárbara d'Oeste	São Paulo
Aisar	Metalcore	Active	Porto Alegre	Rio Grande do Sul
Ajna	Industrial Thrash Metal	Active	São Paulo	São Paulo
Aka Funeral	Black Metal	Active	Belo Horizonte	Minas Gerais
Akael	Gothic/Doom/Death Metal	Unknown	São João de Meriti	Rio de Janeiro
Akallabêth	Folk Metal	Split-up	Aracaju	Sergipe
Akashic	Symphonic Progressive Metal	Split-up	Caxias do Sul	Rio Grande do Sul
Akerbeltz	Black Metal	Split-up	Belo Horizonte	Minas Gerais
Akinetopsia	Brutal Death Metal	Active	São Paulo	São Paulo
Akraniuum	Death Metal/Grindcore	Unknown		
Akroma Penuriante	Black/Funeral Doom Metal	Active	Franco da Rocha	São Paulo
Akuã	Black Metal	Active	São Paulo	São Paulo
Akuma	Pagan Black Metal	Changed name	Votuporanga	São Paulo
Alaic	Depressive Black Metal/Ambient	Active	Vitória da Conquista	Bahia
Alarme	Thrash Metal/Crossover	Active	Barra Mansa	Rio de Janeiro
Albafica	Death/Black Metal	Unknown	São Paulo	
Alberzakh	Heavy Metal	Split-up	Ribeirão Preto	São Paulo
Albor	Doom Metal	Active	Natal	Rio Grande do Norte
Albra	Power Metal	Split-up	Curitiba	Paraná
Alchemist	Thrash Metal	Split-up	Porto Alegre	Rio Grande do Sul
Alchemy	Heavy/Doom Metal	On hold	Rio de Janeiro	Rio de Janeiro
Alchimist	Progressive Power Metal	Active	São Luís	Maranhão
Alcohelldrugs	Punk, Speed/Thrash Metal	Active	Vitória de Santo Antão	Pernambuco
Alcoholic Avenger	Thrash Metal/Crossover	Split-up	São Luis	Maranhão
Alcoholic D.C.	Thrash Metal	Unknown	Araucária	Paraná
Alcoholic Death	Thrash/Death Metal	Unknown	Campo Grande	Mato Grosso do Sul
Alcoholic Mosh	Thrash Metal	Split-up	Cascavel	Paraná
Alcoholic Trendkill	Thrash Metal	Split-up	Criciúma	Santa Catarina
Alcoholic Vortex	Thrash Metal	Active	Brasília	Distrito Federal
Alcoholic War	Thrash Metal	Active	Curitiba	Paraná
Alcoholicoma	Speed/Thrash Metal	Split-up	São Paulo	São Paulo
Alcoholikiller	Thrash Metal	Split-up	Sorocaba	São Paulo
Alcoholocausto	Thrash Metal	Active	Recife	Pernambuco
Álcool	Speed Metal	Active	São Paulo	São Paulo
Alcoólica	Thrash Metal	Split-up	Santos	São Paulo
