Band	Genre	Status	City	State
Chained	Black Metal	Active		
Chainsaw	Thrash Metal	Split-up	Santos	São Paulo
Chakal	Thrash Metal (early); Groove/Thrash Metal (later)	Active	Belo Horizonte	Minas Gerais
Chalice of Throe	Progressive Heavy Metal	Active	Floriano	Piauí
Chant of the Goddess	Stoner/Doom Metal	Split-up	Guararema	São Paulo
Chaos Conspiracy	Death Metal	Unknown	Jequié	Bahia
Chaos Inc	Death Metal	Active	São Paulo	São Paulo
Chaos Process	Experimental Death Metal	Active	Piracicaba	São Paulo
Chaos Realm	Thrash/Speed Metal	Active	Barbacena	Minas Gerais
Chaos Synopsis	Thrash/Death Metal	Active	São José dos Campos	São Paulo
Chaosface	Thrash Metal	Unknown	Natal	Rio Grande do Norte
Chaosfear	Groove Metal (early); Heavy/Alternative Metal (later)	Active	São Paulo	São Paulo
Chaoslace	Thrash/Death Metal (early); Brutal Death Metal (later)	Active	Santo André	São Paulo
Chaosmaster	Heavy/Black Metal	Split-up	Santos	São Paulo
Chaotic Desolation	Melodic Death/Thrash/Black Metal	Active	Osasco	São Paulo
Charlar	Groove Metal	On hold	Porto Alegre	Rio Grande do Sul
Charles Soulz Project	Progressive Rock/Metal	Active	Rio de Janeiro	Rio de Janeiro
Charllatones	Southern/Stoner Metal/Rock	Unknown	Joinville	Santa Catarina
Chasing Fear	Thrash Metal	Split-up	São Paulo	São Paulo
Chavajoth	Black Metal	Active	Conselheiro Lafaiete	Minas Gerais
Chemical	Thrash Metal	Active	São Paulo	São Paulo
Chemical	Thrash Metal	Unknown	São Paulo	São Paulo
Chemical Death	Death/Thrash Metal	Split-up	Salvador	Bahia
Chemical Disaster	Death Metal	Active	Santos	São Paulo
Cheol	Black Metal	Active	Goiânia	Goiás
Cherno Nuclear	Speed/Thrash Metal	Active	Teresina	Piauí
Chesed Geburah	Black/Doom Metal	Active	Santos	São Paulo
Chifre Negro	Black Metal	Active	São Luís	Maranhão
Child o' Flames	Melodic Thrash/Death Metal	Active	Curitiba	Paraná
Children of Elara	Progressive/Doom Metal	Active	Paraná	
Chimaera	Progressive Metal	Split-up	Porto Alegre	Rio Grande do Sul
Chimerah	Heavy Metal	Active	Guarulhos	São Paulo
Choke	Groove/Death Metal/Grindcore	Active	Curitiba	Paraná
Choronzonic	Black Metal	Active	Patos de Minas	Minas Gerais
Christ Rotten Flesh	Black Metal	Active	Araguari	Minas Gerais
Christ's Death	Death Metal	Changed name	Fernandópolis	São Paulo
Christhunter	Black Metal	Active	Congonhas	Minas Gerais
Christmess	Heavy Metal	Unknown	Itajaí	Santa Catarina
Christopher Abel	Death Metal	Split-up	Itajaí	Santa Catarina
Christophobia	Black Metal	Active	Arapongas	Paraná
Christum Spurious	Black Metal	Active	Bastos	São Paulo
Chrome Commander	Heavy/Thrash Metal	Unknown	Franca	São Paulo
Chromeskull	Thrash/Speed Metal (early); Heavy/Power Metal (later)	Active	São Paulo	São Paulo
Chronic Ashes	Death Metal	Active	Belo Horizonte	Minas Gerais
Chronic Infect	Death Metal	Split-up	Fortaleza	Ceará
Chronicode	Heavy Metal	On hold	Rio de Janeiro	
Chronon	Progressive Metal	Active	Jaraguá do Sul	Santa Catarina
Chubasa	Death Metal/Goregrind	Active	Curitiba	Paraná
Chumbo	Heavy Metal/Speed Metal/Punk	Active	São Paulo	São Paulo
Churrasco Comunista	Black/Death Metal	Active	Praia Grande	São Paulo
Churril	Death Metal	Active	Santa Maria	Rio Grande do Sul
Chute no Rim	Crossover/Hardcore Punk	Active	Alvorada	Rio Grande do Sul
Cicatrizes do Ódio	Death Metal	Active	Campinas	São Paulo
Cicuta	Death Metal	Split-up	Santo Antônio de Jesus	Bahia
Cifer	Speed/Thrash Metal	Active	São Paulo	São Paulo
Cihoze	Death/Thrash Metal	Active	Region of Goiás	
Cimitarra	Heavy/Speed Metal	Active	São Luís	Maranhão
Cipriano	Black Metal	Active	Curitiba	Paraná
Circle of Agony	Thrash Metal	Split-up	São Paulo	São Paulo
Circle of Infinity	Thrash/Black Metal	Active	Limeira	São Paulo
Circle of Noose	Experimental Black Metal	Active	João Pessoa	Paraíba
Circo de Fantoches	Heavy Metal	Active	São Paulo	São Paulo
Circulo Negro	Black Metal	Active	Itaituba	Pará
Cirrhosis	Death Metal	Unknown	Uberlândia	Minas Gerais
Cisto de Naboth	Experimental/Raw Black Metal	Split-up		
Clamatorius	Black/Death Metal	Split-up	Goiânia	Goiás
Clamor	Thrash/Death Metal with Hardcore influences	Active	Araguaína	Tocantins
Clamus	Thrash/Death Metal	Active	Fortaleza	Ceará
Clan of Madness	Melodic Power Metal	Split-up	Bragança Paulista	São Paulo
Clangor	Heavy Metal	On hold	Recife	Pernambuco
Clause of Death	Death Metal/Grindcore	Split-up	Farroupilha	Rio Grande do Sul
Claustrofobia	Death/Thrash Metal	Active	Leme	São Paulo
Claustrum Burial	Deathcore	Split-up	Curitiba	Paraná
Clava	Death/Thrash Metal/Hardcore	Active	São Paulo	
Clava	Metalcore	Active	Rio de Janeiro	
Clavicula Nox	Black Metal	Active	Belo Horizonte	Minas Gerais
Clavis Inferni	Black Metal	Active	Viamão	Rio Grande do Sul
Clawn	Brutal Death Metal	Split-up	Botucatu	São Paulo
Clean Heart	Melodic Heavy/Power Metal	Split-up	Ribeirão Pires	São Paulo
Cleef	Doom Metal	Active	São Paulo	São Paulo
Clemency	Death Metal	Split-up	Londrina	Paraná
Clenched Fist	Heavy Metal	Active	São Paulo	São Paulo
Cleptomaníacos	Grindcore	Active	Franco da Rocha	São Paulo
Clint X Eastwood	Raw Black Metal/Grindcore	Active	Catanduva	São Paulo
Clonazepam	Depressive Black Metal	Split-up	São Paulo	São Paulo
Clostridium Perfringens	Goregrind	Split-up	Santa Fé do Sul	São Paulo
Cobalto	Thrash Metal	Split-up	Salvador	Bahia
Coccyx	Brutal Death Metal	Active	Minas Gerais	
Código Clone	Progressive Metal	Active	São Paulo	São Paulo
Cöffin Röt	Death Metal	Active	Franca	São Paulo
Coffinfeeder	Death Metal	Active	Sabará	Minas Gerais
Coherence	Progressive Metal	Active	Campinas	São Paulo
Coiotes S.A.	Stoner Metal	Active	Belo Horizonte	Minas Gerais
Colapso	Grindcore/Crossover	Split-up	Recife	Pernambuco
Colapsus	Black/Thrash Metal	Active	Anchieta	Santa Catarina
Cold Abyss	Black Metal	Active	Colatina	Espírito Santo
Cold Blasphemy	Atmospheric/Ambient Black Metal	Active	Vitória	Espírito Santo
Cold Burial	Atmospheric Black Metal	Active	São Paulo	
Cold Forest	Dungeon Synth/Atmospheric Black Metal	Split-up	São Paulo	
Cold Internal Corrosion	Depressive Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Cold Killer	Brutal Death Metal/Grindcore	Active	Diadema	São Paulo
Cold Mist	Symphonic Black Metal	Active	Carlos Barbosa	Rio Grande do Sul
Cold Night	Black Metal	Active	Duque de Caxias	Rio de Janeiro
Coldblood	Death Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Coldness	Heavy Metal	Active	Fortaleza	Ceará
Coldwinter	Atmospheric Black Metal	Active	São Paulo	São Paulo
Coliseum	Black/Death/Thrash Metal	Active	Salvador	Bahia
Collapse NR	Brutal Death Metal	Active	Mogi Guaçu	São Paulo
Colônia	Black Metal	Active		
Colônia Cratera	Heavy/Progressive Metal/Hard Rock	Active	São Paulo	
Colony	Progressive Metal	Split-up	São Paulo	São Paulo
Colt.45	Brutal Death Metal/Grindcore	Active	Belo Horizonte	Minas Gerais
Comando Etílico	Heavy/Thrash Metal	Active	Natal	Rio Grande do Norte
Comando Nuclear	Heavy/Speed Metal	Active	São Paulo	São Paulo
Command	Black Metal	Active	Paraná	
Command Warhammer	Black/Death Metal	Active	São Paulo	São Paulo
Command6	Heavy/Thrash/Groove Metal	Active	São Paulo	São Paulo
Concept of Hate	Thrash/Groove Metal	Active	Santo André	São Paulo
Conciliabulo	Black Metal	Split-up	Barbacena	Minas Gerais
Conclave	Thrash/Death/Groove Metal	Active	João Pessoa	Paraíba
ConcreteNess	Thrash Metal/Grindcore	Split-up	Santa Bárbara d'Oeste	São Paulo
Condessa Carnage	Black Metal	Active	Vitória	Espírito Santo
Condiloma	Goregrind	Active	São Gonçalo	Rio de Janeiro
Condolência	Thrash/Death Metal/Metalcore	Split-up	São Paulo	São Paulo
Conduta Destrutiva	Thrash Metal/Hardcore	Active	Porto Alegre	Rio Grande do Sul
Conexão Pentagrama	Death/Thrash Metal	Unknown	São Bernardo do Campo	São Paulo
Confessori	Progressive/Power Metal	Active	São Paulo	
Confinement	Thrash/Death Metal	Active	São Paulo	São Paulo
Confiteor	Heavy Metal	Unknown	Salvador	Bahia
Confounded	Death Metal	Active	Recife	Pernambuco
Confronto	Deathcore	Split-up	Rio de Janeiro	Rio de Janeiro
ConfusedGod	Death Metal	Active	Itajubá	Minas Gerais
Conhaque Stripper	Stoner/Doom Metal	Active	Vitória	Espírito Santo
Conjurador	Death Metal	Active	Porto Alegre	Rio Grande do Sul
Connecting Pieces	Melodic Heavy/Power Metal/Hard Rock	Active		
Conquistadores	Thrash Metal	Active	Osasco	São Paulo
Consequência	Heavy/Thrash Metal	Active	Cascavel	Paraná
Considered Dead	Death Metal	Split-up	Brasília	Distrito Federal
Conspiracy	Thrash Metal	Split-up	Osasco	São Paulo
Conspiracy	Death/Thrash Metal	Split-up	Presidente Prudente	São Paulo
Conspiracy 666	Black Metal	Active	Lages	Santa Catarina
Constrito	Death Metal/Grindcore/Post-Hardcore	Split-up	São Paulo	São Paulo
Contemptible Ruins	Death Metal/Crust	Active	Brasília	Distrito Federal
Contempty	Death/Doom Metal	Active	Rio Pomba	Minas Gerais
Contratake	Heavy Metal/Hard Rock	Active	Rio de Janeiro	Rio de Janeiro
Converg3nce	Atmospheric Black Metal	Unknown	Recife	Pernambuco
Convulsion	Death Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Convulsion	Death Metal/Grindcore	Split-up	Rio de Janeiro	Rio de Janeiro
Convulsive	Death Metal	Active		
Coração Blindado	Heavy Metal	Unknown	São José dos Campos	São Paulo
Coração de Herói	Thrash Metal/Hardcore	Unknown	São Paulo	São Paulo
Coral de Espíritos	Technical Death Metal	Active	Brasília	Distrito Federal
Corbã	Melodic Progressive Metal	Unknown	Santa Bárbara d'Oeste	São Paulo
Core	Death Metal	Changed name	Londrina	Paraná
Core Divider	Thrash/Death/Groove Metal	On hold	São Paulo	São Paulo
Corja	Experimental Metal	Active	Goiânia	Goiás
Coró de Cova	Death Metal	Split-up	Itaporã	Mato Grosso do Sul
Corozon	Black Metal	Split-up	São Paulo	São Paulo
Corpo Seco	Death/Thrash Metal	Active	Atibaia/Jundiaí	São Paulo
Corporal Sores	Brutal Death Metal	Split-up	Carapicuíba	São Paulo
Corporate Death	Death Metal	On hold	Jundiaí	São Paulo
Corpse	Thrash Metal	Split-up	Arujá	São Paulo
Corpse Carcass	Brutal Death Metal	Active	Belo Horizonte	Minas Gerais
Corpse Forest	Black Metal	Split-up	Itabaiana	Sergipe
Corpse Grinder	Death Metal	Active	Machado	Minas Gerais
Corpse Hunter	Death Metal	Split-up	Belo Horizonte	Minas Gerais
Corpse ov Christ	Black Metal	Active	Campos do Jordão	São Paulo
Corpses Conductor	Death Metal	Active	Mauá	São Paulo
Corpsia	Thrash Metal	On hold	Londrina	Paraná
Corpsy	Death/Thrash Metal	Active	Itabaianinha	Sergipe
Corpus Christi	Black Metal	Unknown	Goiânia	Goiás
Corpus Vermis	Death Metal	Active	Vitória da Conquista	Bahia
Corroídos pelo Ódio	Thrash Metal/Crossover	Active	Paulista	Pernambuco
Corrosive Nails	Death/Thrash Metal	Active	Canoinhas	Santa Catarina
Corrosivo	Thrash/Death Metal	Active	Lajeado/Arroio do Meio	Rio Grande do Sul
Corrosivo Explícito	Death Metal	Active	Araraquara / Marília	São Paulo
Corruption of Soul	Technical Death/Thrash Metal	Split-up	Belém	Pará
Corsário	Heavy Metal	Active	Belém	Pará
Cortina de Ferro	Melodic Heavy Metal	Split-up	São Paulo	São Paulo
Corubo	Black Metal/Ambient	Active	Ji-Paraná	Rondônia
Corujas	Raw Black Metal	Active	Catanduva	São Paulo
Corvo	Thrash/Groove Metal	Active	Parnaíba	Piauí
Corvo Pútrido	Death Metal	Active	São Paulo	São Paulo
Cosmic Abyss	Progressive Thrash Metal/Crossover	Active	Brasília	Distrito Federal
Cosmic Rover	Stoner Metal	Active	São Paulo	São Paulo
Cosmic Sepulcher	Death/Doom Metal	Active	Euclides da Cunha	Bahia
Cosmo Awen	Black Metal	Split-up	Congonhas	Minas Gerais
Cosmonaut Fuzz	Psychedelic Doom Metal	Active	Fortaleza	Ceará
Cosmophage	Death Metal	Active	Brasília	Distrito Federal
CounterParts	Melodic Heavy Metal	Active	Campinas	São Paulo
Cova	Death/Thrash Metal	Split-up	São Bernardo do Campo	São Paulo
Cova	Black Metal	Active	Rio de Janeiro	
Cova Rasa	Groove/Thrash Metal/Hardcore	Unknown	Porto Alegre	Rio Grande do Sul
Cova Rasa	Heavy Metal	Active	São Paulo	São Paulo
Cova Raza	Thrash Metal/Crossover	Active	Pouso Alegre / Borda da Mata	Minas Gerais
Coveirö	Raw Black Metal	Split-up	Curitiba	Paraná
Coveiros	Death Metal/Hardcore (early); Thrash/Death Metal (later)	Active	Porto Velho	Rondônia
Coven	Death Metal	Changed name	Mogi das Cruzes	São Paulo
COVID-19	Death Metal/Goregrind	Active	Recife	Pernambuco
Covil	Black Metal/Dungeon Synth	Active	Curitiba	Paraná
Coyote Bad Trip	Blackened Thrash Metal/Hardcore	Active	Jacareí	São Paulo
Cracked Skull	Death/Thrash Metal	Active	Itaúna	Minas Gerais
Cranial Crusher	Thrash Metal/Punk	Active	São Bernardo do Campo	São Paulo
Crânio	Thrash Metal	Active	João Pessoa	Paraíba
Cranio Maldito	Death Metal	Active	Guarulhos	São Paulo
Cranioencephalic	Slam/Brutal Death Metal	Active	Campina Grande	Paraíba
Crânioss	Raw Black Metal	Active		
Cranium Crushing	Death/Thrash Metal	Active	São Luís	Maranhão
Crânula	Death Metal/Grindcore	Active	São Paulo	São Paulo
Cras	Sludge Metal	Active	São Paulo	São Paulo
Crash Noise	Thrash/Death Metal	Unknown	São Paulo	São Paulo
Crashkill	Thrash Metal	Active	Fortaleza	Ceará
Crayoté	Raw Black Metal	Active		
Creampie	Brutal Death Metal/Goregrind	Unknown	Curitiba	Paraná
Creationism Denied	Death Metal	Active		
Creatures	Heavy Metal/Hard Rock	Active	Paraná	
Creepin' Death	Thrash Metal	Split-up	Curitiba	Paraná
Crehate	Thrash Metal	Unknown	Curitiba	Paraná
Cremador	Death Metal	Active	São Luís	Maranhão
Cremasma	Black Metal	Active	Sumaré	São Paulo
Crematório	Black/Thrash Metal	Active	Divinópolis	Minas Gerais
Crematório	Thrash Metal	Split-up	Gama	Distrito Federal
Crematorium	Thrash/Death Metal	Active	Petrolina	Pernambuco
Crematory	Black/Death Metal	Split-up	São Paulo	São Paulo
Crente	Death/Thrash Metal	Active	João Pessoa	Paraíba
Creófago	Death Metal	Split-up	Florianópolis	Santa Catarina
Creptum	Black Metal	Active	São Paulo	São Paulo
Crepusculic Shadows	Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Crepúsculo dos Ídolos	Black Metal	Active	Cascavel	Paraná
Criminal Brain	Death/Thrash Metal	Active	Petrópolis	Rio de Janeiro
Criminal Mosh	Thrash Metal/Crossover	Active	São Paulo	São Paulo
Criminal Repulsion	Death Metal	Active	São José dos Campos	São Paulo
Crimson Project	Heavy/Doom Metal	Active	São Paulo	São Paulo
Criokar	Thrash/Groove Metal	Active	Fortaleza	Ceará
Cripta Mortiis	Death Metal	Active	Caxias do Sul	Rio Grande do Sul
Criptonio	Progressive/Stoner/Doom/Folk Metal	Active	Santa Catarina	
Cristandade em Chamas	Black Metal	Active	Salvador	Bahia
Cristian Rigon	Heavy Metal	Split-up	Caxias do Sul	Rio Grande do Sul
Cristo Cadavérico	Black Metal	Active	Teresina	Piauí
Cristo em Chamas	Black Metal	Split-up	Atibaia	São Paulo
Cristofobia Fashion Club	Death/Black Metal/Grindcore	Active	Belo Horizonte	Minas Gerais
Criteria	Thrash Metal	On hold	Rio de Janeiro	Rio de Janeiro
Critical Death	Thrash/Death Metal	Split-up	Fortaleza	Ceará
Critical Fear	Thrash Metal	Active	Iracemápolis	São Paulo
Criva	Progressive Power Metal	Split-up	Itajaí	Santa Catarina
Crom	Heavy Metal	Active		
Cromata	Groove/Death Metal	Unknown	Porto Alegre	Rio Grande do Sul
Cromathia	Death Metal	Active	Curitiba	Paraná
Cromlech	Heavy Metal	Split-up	São José do Rio Preto	São Paulo
Cron Demom	Atmospheric Black Metal/Ambient	Active		
Cronos N.T.	Death Metal	Active	São Paulo	São Paulo
Crookhead	Progressive Death Metal	Active	Araraquara	São Paulo
Croskill	Heavy/Progressive Metal	Active	Natal	Rio Grande do Norte
Cross of Fear	Heavy Metal	Active	Fortaleza	Ceará
Cross Save	Thrash Metal	Split-up	Bauru	São Paulo
Crossbones	Thrash Metal	Split-up	Juiz de Fora	Minas Gerais
Crossfear	Melodic Death Metal/Metalcore	Unknown	Santo André	São Paulo
Crossness	Death/Doom Metal (early); Heavy/Thrash Metal (later)	Split-up	Guarapuava	Paraná
Crotalus	Thrash/Heavy Metal	Split-up	Salvador	Bahia
Crown of Fallen Heroes	Epic Pagan Metal	Active	Mairiporã	São Paulo
Crown of Pain	Doom/Death Metal	Unknown	São Paulo	São Paulo
Crucial	Black Metal	Split-up	Mauá	São Paulo
Crucial Death	Death Metal	Split-up	Teófilo Otoni	Minas Gerais
Cruciate	Death Metal	Active	Florianópolis	Santa Catarina
Crucibulum	Black Metal	Active	Belo Horizonte	Minas Gerais
Crucificator	Black Metal (early); Death Metal (later)	Active	Salvador	Bahia
Crucifier	Thrash Metal	Split-up	Santos	São Paulo
Crucifixion	Death/Black Metal	Active	Recife	Pernambuco
Crucifixion BR	Black/Death Metal	Active	Rio Grande do Sul (early); São Paulo	São Paulo
Crucifixo	Death/Thrash Metal	Split-up	Porto Alegre	Rio Grande do Sul
Crucifixo	Thrash Metal	Split-up	Pelotas	Rio Grande do Sul
Cruciform	Heavy Metal	Split-up	Taubaté	São Paulo
Crucify Death	Death Metal	Changed name	Araxá	Minas Gerais
Crucifyce	Thrash/Groove Metal	Active	Uberaba	Minas Gerais
Crucifyter	Death Metal	Active	Sete Lagoas	Minas Gerais
Crudeliter	Death Metal	Split-up	Foz do Iguaçu	Paraná
Cruelty	Death Metal	Changed name	Brasília	Distrito Federal
Cruelty	Thrash/Death Metal	Split-up	Rio Comprido	Rio de Janeiro
Cruelty Master	Thrash Metal	Split-up	São Paulo	São Paulo
Crunch Delights	Goregrind	Split-up	Curitiba	Paraná
Cruor	Thrash Metal	Active	Recife	Pernambuco
Cruor Cultum	Raw Black Metal	Active	São Paulo	São Paulo
Cruscifire	Death/Thrash Metal (early); Death Metal (later)	Active	Atibaia	São Paulo
Crusher	Thrash Metal	Split-up	Curitiba	Paraná
Crusher	Death/Thrash Metal	Split-up	Belo Horizonte	Minas Gerais
Crusher Force	Thrash Metal	Split-up	Jandira	São Paulo
Crushing	Thrash Metal	Active	Brasília	Distrito Federal
Crushing Axes	Death Metal	Active	São José dos Campos	São Paulo
Crushing Souls	Thrash Metal	Active	Monte Mor	São Paulo
Cruvian	Black/Doom Metal	Active	Teresina	Piauí
Crux Caelifera	Black Metal	On hold	São Paulo	São Paulo
Crux Cullum	Death/Black Metal	Changed name	Belo Horizonte	Minas Gerais
Cruzadas	Epic Power/Speed/Thrash Metal	Active	Salvador	Bahia
Crying Impostor	Depressive Black Metal	Active	Sorocaba	São Paulo
Cryppta	Heavy/Thrash Metal	Unknown	Porto Alegre	Rio Grande do Sul
Crypta	Death Metal	Active	São Paulo	São Paulo
Crypta	Death Metal	Split-up	Garanhuns	Pernambuco
Cryptic Lorn	Black Metal	Changed name	Belford Roxo	Rio de Janeiro
Crystal Lake	Thrash Metal	Active	Leme	São Paulo
Crystal Spirit	Heavy Metal	Active	Ceará	
Cujo	Death Metal	Active	Florianópolis	Santa Catarina
Cülpado	Death/Thrash Metal	Active	Curitiba	Paraná
Cult a Satan	Raw Black Metal	Active	Belo Horizonte	Minas Gerais
Cult of Enthropy	Black Metal	Active	São Paulo	São Paulo
Cult of Horror	Black/Speed Metal	Active	Rio de Janeiro	Rio de Janeiro
Cult of Putrefaction	Death Metal/Grindcore	Active	Jundiaí	São Paulo
Culto ao Bode	Stoner/Doom Metal	Active	Viamão	Rio Grande do Sul
Culto Maligno	Raw Black Metal	Unknown	Aracruz	Espírito Santo
Culto Metálico	Heavy Metal	Split-up	Jaú	São Paulo
Culto Profano	Black Metal	Split-up		
Culttruth	Death/Thrash Metal	Split-up	Contagem	Minas Gerais
Cultus Funeris	Black Metal	Active	Cachoeirinha	Rio Grande do Sul
Curse	Thrash/Death Metal	Active	São Paulo	São Paulo
Curse	Thrash Metal	Split-up	Paranaguá	Paraná
Curse	Death Metal	Split-up		
Curse's Insight	Heavy Metal/Rock	Unknown	Mossoró	Rio Grande do Norte
Cursed	Black Metal	Unknown	Jardim das Camélias	São Paulo
Cursed Celebration	Death Metal	Changed name	Tremembé	São Paulo
Cursed Chaplet	Black/Doom Metal	Split-up	Raul Soares	Minas Gerais
Cursed Christ	Black Metal	Active	Franca	São Paulo
Cursed Christ	Black/Death Metal/Grindcore	Split-up	Fortaleza	Ceará
Cursed Excruciation	Black/Death Metal	Active	Viamão	Rio Grande do Sul
Cursed Lands	Black Metal	Split-up	Belo Horizonte	Minas Gerais
Cursed Rite	Black Metal	Split-up		
Cursed Slaughter	Thrash Metal/Crossover	Split-up	São Paulo	São Paulo
Cursedflesh	Death Metal	Active	Rio de Janeiro	Rio de Janeiro
Curupira	Sludge/Stoner/Doom Metal	Active	Florianópolis	Santa Catarina
Cuspe Nos Olhos	Thrash Metal/Crossover	Active	Fortaleza	Ceará
Cuspir na Sua Cova	Death Metal	Active	Sertânia	Pernambuco
Cuthulu ad Tenebrarum	Black Metal	Active	Ceará	
CxFxCx	Crossover/Thrash Metal	Active	Canoas	Rio Grande do Sul
Cyber Croatoan	Extreme Industrial/Gothic Metal	Active	Goiânia	Goiás
Cystus	Death Metal/Goregrind	Active	Cuiabá	Mato Grosso
D.A.M	Melodic Death Metal	Active	Belo Horizonte	Minas Gerais
D.C.H.	Thrash Metal/Crossover	Split-up	Bastos	São Paulo
D.E.R.	Grindcore	Active	São Paulo	São Paulo
D.E.T.H.	Thrash/Death Metal	Split-up	Belo Horizonte	Minas Gerais
D.F.C.	Crossover/Thrash Metal/Hardcore	Active	Brasilia	Distrito Federal
D.H.	Thrash/Death Metal	Active	São José dos Campos	São Paulo
D.I.E.	Crossover	Active	Botucatu	São Paulo
D.K.R.	Thrash Metal/Crossover	Unknown	Santo André	São Paulo
D.L.M.	Grindcore	Active	Não-Me-Toque	Rio Grande do Sul
D.N.R.	Thrash Metal/Hardcore	Split-up	Jundiaí	São Paulo
D.O.R	Thrash Metal	Active	Vila Velha	Espírito Santo
Daath	Depressive/Post-Black Metal	Active	Itajubá	Minas Gerais
Daemon Est Deus Inversus	Black Metal	Split-up	Votorantim	São Paulo
Daemons Vault	Progressive Metal	Active	Rio de Janeiro	
Dagonia	Black/Death Metal	Split-up	São Paulo	São Paulo
Dagor Sorhdeam	Power Metal	Active		
Daimonos	Death Metal	Active	Natal	Rio Grande do Norte
Daimoth	Black/Heavy Metal	Split-up	Timbaúba	Pernambuco
Daizy Down	Heavy Metal	Active	São José dos Campos	São Paulo
Dakhmas	Groove Metal/Djent	Active	São Paulo	
Dama Black	Heavy Metal	Active		
Damage	Thrash Metal	Split-up	Araraquara	São Paulo
Damage	Heavy/Power Metal	Unknown	Santa Maria	Rio Grande do Sul
Damage Control	Thrash Metal	Active	Colatina	Espírito Santo
Damage Corporation	Thrash Metal	Active	Araraquara	São Paulo
Damage Division	Heavy/Stoner/Groove Metal	Active	Natal	Rio Grande do Norte
Damaged Soul	Heavy Metal	Active	Breves	Pará
DamageWar	Thrash Metal	Active	Guarulhos	São Paulo
Damien	Death/Thrash Metal	Active	São João del-Rei	Minas Gerais
Dammage	Heavy/Thrash Metal	Unknown	Campina Grande	Paraíba
Damn Youth	Thrash Metal/Crossover	Active	Caucaia	Ceará
Damnation City	Thrash/Speed Metal	Active	São Paulo	
Damned	Thrash Metal	Split-up	Vinhedo	São Paulo
Dampnare	Black Metal	Active	Campos do Jordão	São Paulo
Dangel	Heavy/Progressive Metal	Unknown	Rio Grande do Sul	
Daniel Fonseca	Heavy/Power/Progressive Metal	Active	São Paulo	São Paulo
DannaH Project	Heavy/Post-Metal	Active	Belo Horizonte	Minas Gerais
Dante Everett	Death Metal	Unknown	Belford Roxo	Rio de Janeiro
Darchitect	Death/Thrash Metal	Active	São Paulo	São Paulo
Dare	Heavy Metal	Active	Serra	Espírito Santo
Darhew	Crossover/Thrash Metal	Active	Campo Grande	Mato Grosso do Sul
Dark Abyss of Life	Depressive Black/Gothic Metal	Split-up	São Paulo	São Paulo
Dark Ages	Death/Thrash Metal	Active	Goiânia	Goiás
Dark Alliance	Heavy Metal	Active	Marília/Tupã	São Paulo
Dark Altar	Black/Death Metal	Split-up	Aracaju	Sergipe
Dark Asylum	Power/Thrash Metal	Active	Porto Alegre	Rio Grande do Sul
Dark Autopsy	Death/Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Dark Avenger	Power Metal	Split-up	Brasília	Distrito Federal
Dark Butcher	Death Metal	Split-up	Santa Maria	Rio Grande do Sul
Dark Celebration	Black Metal	Active	Caxias do Sul	Rio Grande do Sul
Dark Crystals' Land	Black Metal	Split-up	Volta Redonda	Rio de Janeiro
Dark Desires	Raw Black Metal	Split-up	Teófilo Otoni	Minas Gerais
Dark Devastation	Thrash Metal	Unknown	Tres Pontas	Minas Gerais
Dark Devotion	Melodic Death/Black Metal	Active	São Paulo	São Paulo
Dark Division	Heavy Metal	Active	São Paulo	São Paulo
Dark Eden	Gothic/Doom/Death Metal	Split-up	Santos	São Paulo
Dark Emperor	Black Metal	Split-up	Paranaguá	Paraná
Dark Empire	Black Metal	Split-up	Manaus	Amazonas
Dark Empire	Death/Thrash Metal	Unknown	Taguatinga	Distrito Federal
Dark Endless	Pagan Black Metal	Split-up	Lages	Santa Catarina
Dark Fate	Thrash Metal	Unknown	Recife	Pernambuco
Dark Flames	Black Metal	Split-up	Londrina	Paraná
Dark Forest	Black Metal	Split-up	Rio de Janeiro	Rio de Janeiro
Dark Horizon	Death Metal	Unknown	Petrópolis	Rio de Janeiro
Dark Imperium	Melodic Black Metal	Split-up	Ponta Grossa	Paraná
Dark Inquisition	Pagan Black Metal	Active	São Paulo	São Paulo
Dark Isolation	Ambient/Black Metal	Active	Valinhos	São Paulo
Dark Legend	Progressive/Power Metal	Unknown	Passos	Minas Gerais
Dark Lord	Black Metal	Split-up	Cachoeirinha	Rio Grande do Sul
Dark Malediction	Black Metal	Active	São Paulo	São Paulo
Dark Misanthropy	Black Metal	Active	Belo Horizonte	Minas Gerais
Dark Mist	Heavy Metal	Split-up	São Paulo	São Paulo
Dark Night	Heavy Metal	Active	Santa Maria da Vitória	Bahia
Dark Opus	Black Metal	Split-up	Contagem	Minas Gerais
Dark Paramount	Black Metal	Active	Mirassol (early)/São José do Rio Preto (later)	São Paulo
Dark Phoenix	Heavy Metal	Active	Belo Horizonte	Minas Gerais
Dark Profanation	Black Metal	Split-up	Belém	Pará
Dark Season	Symphonic Metal	Split-up	Teresina	Piauí
Dark Side	Thrash/Heavy Metal	Changed name	Macaé	Rio de Janeiro
Dark Slumber	Black/Death Metal	Active	Barra Mansa/Volta Redonda	Rio de Janeiro
