Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	São Paulo, São Paulo	Split-up	2013	Death/Thrash Metal (early); Black Metal (later)	Evil, Violence, Nightmares	Unsigned/independent	2013-2018, 2021-2024	https://www.metal-archives.com/bands/Karnnage/3540401485
Brazil	Blumenau, Santa Catarina	Active	2007	Black Metal	N/A	Unsigned/independent	2007-present	https://www.metal-archives.com/bands/Karnstein/3540454845
Brazil	Itu, São Paulo	Split-up	1985	Power/Thrash Metal	N/A	Unsigned/independent	1985-?	https://www.metal-archives.com/bands/Karontt/3540266675
Brazil	Americana, São Paulo	Active	N/A	Thrash Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Karranka/52996
Brazil	São Paulo, São Paulo	Active	2014	Power Metal	Life, Spiritism, Charity	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Karyttah/3540428090
Brazil	Salvador, Bahia	Active	2002	Death/Black Metal	Satanism, Thelema	Brazilian Ritual Records	2002-present	https://www.metal-archives.com/bands/Kastiphas/62994
Brazil	Novo Hamburgo, Rio Grande do Sul	Split-up	2003	Heavy Metal	N/A	Unsigned/independent	2003-?	https://www.metal-archives.com/bands/Katana/44109
Brazil	Natal, Rio Grande do Norte	Active	2009	Melodic Death Metal	Existentialism	Unsigned/independent	2009-present	https://www.metal-archives.com/bands/Kataphero/3540307147
Brazil	Ponta Grossa, Paraná	Split-up	2017	Black Metal	Darkness, Satan, Occultism, Depression, Suicide	Unsigned/independent	2017-2020	https://www.metal-archives.com/bands/Katarsis_Tenebris/3540442423
Brazil	Campo Grande, Mato Grosso do Sul	Active	1994	Thrash Metal	N/A	Unsigned/independent	1994-present	https://www.metal-archives.com/bands/Kat%C3%A1strofe/3540515762
Brazil	Anchieta, Espírito Santo	Active	2006	Death Metal	Blasphemies, Death, Anti-religion	Unsigned/independent	2006-present	https://www.metal-archives.com/bands/Katastrofy/121504
Brazil	Joinville, Santa Catarina	Split-up	2007	Death/Black Metal	Religion, Society, Human behaviour	Unsigned/independent	2007-2013	https://www.metal-archives.com/bands/Katharsick/3540317732
