Country of origin	Location	Status	Formed in	Genre	Themes	Current label	Years active	url
Brazil	Juiz de Fora, Minas Gerais	Unknown	1998	Heavy/Progressive Metal	Society, Politics	Unsigned/independent	1998-?	https://www.metal-archives.com/bands/Atroz/24771
Brazil	João Pessoa, Paraíba	Active	2014	Death/Black Metal	N/A	Unsigned/independent	2014-2015 (as Atryum), 2015-present	https://www.metal-archives.com/bands/Atrymo/3540432051
Brazil	Atibaia, São Paulo	Active	2003	Heavy Metal (early); Groove/Thrash Metal (later)	Social inequality, War, Religion	Unsigned/independent	2003-present	https://www.metal-archives.com/bands/Attack_Force/55550
Brazil	Breves, Marajó	Active	N/A	Heavy/Thrash Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Attack_Kamikaze/3540535965
Brazil	São Paulo, São Paulo	Split-up	2004	Thrash Metal	N/A	Unsigned/independent	2004-2008	https://www.metal-archives.com/bands/Attackill/59470
Brazil	Uberlândia, Minas Gerais	Active	N/A	Thrash Metal/Hardcore	Nationalism, Hate, War	Onevoice Entertainment	N/A	https://www.metal-archives.com/bands/Attero/105280
Brazil	São Paulo, São Paulo	Unknown	1997	Heavy Metal	N/A	Unsigned/independent	1997-?	https://www.metal-archives.com/bands/Attitude_Force/15202
Brazil	Parnaíba, Piauí	Active	2005	Death/Groove Metal	Life	Unsigned/independent	2005-?	https://www.metal-archives.com/bands/Attma/3540361739
Brazil	São Paulo, São Paulo	Active	2014	Thrash Metal	War, Death, Insanity, Darkness	Unsigned/independent	2009-2014 (as Soldado Nuclear), 2014-present	https://www.metal-archives.com/bands/Attomic_Soldier/3540383839
Brazil	São José dos Campos, São Paulo	Active	1985	Thrash Metal	War, Psychology, Death	Unsigned/independent	1985-1992, 2004-2009 (as Atomica), 2009-2015, 2015-present	https://www.metal-archives.com/bands/Attomica/7469
Brazil	São Paulo, São Paulo	Active	2007	Hard Rock/Heavy Metal	N/A	Unsigned/independent	2007-2011, 2012-present	https://www.metal-archives.com/bands/Attractha/3540367460
Brazil	Pelotas, Rio Grande do Sul	Split-up	1987	Speed/Thrash Metal	Metal lifestyle, Women (early); War, Death, Religion (later)	UGK Disccos	1987-2001 (as Atro), 2001-2011	https://www.metal-archives.com/bands/Attro/8810
Brazil	São Paulo, São Paulo	On hold	2005	Funeral Doom/Black Metal	Life, Depression, Hopeless, Modernity, Solitude	Kunsthauch	2005-? (as Destroying Monumentum), ?-present	https://www.metal-archives.com/bands/Au_Sacre_des_Nuits/98344
Brazil	Osório, Rio Grande Do Sul	Active	2019	Death/Thrash/Progressive Metal	N/A	Unsigned/independent	2019-present	https://www.metal-archives.com/bands/Aura_Scent/3540497469
Brazil	Salvador, Bahia	Active	2021	Progressive Power Metal	Resilience, Reflection, Strength	Rockshots Records	2021-present	https://www.metal-archives.com/bands/Auro_Control/3540543492
Brazil	Rio Negro, Paraná	Active	2014	Doom/Black Metal	Hate, Ancestry, Anguish	Unsigned/independent	2014-present	https://www.metal-archives.com/bands/Aurora_Ancestral/3540447507
Brazil	Teresina, Piauí	Split-up	2009	Black Metal	Luciferianism	Lord of Hell Distro & Prod	2009-2016	https://www.metal-archives.com/bands/Aurora_%C3%8Dgnea/3540335152
Brazil	São Paulo, São Paulo	Active	2019	Black/Doom Metal	Depression, Life, Death, Catastrophes, Nature	Loud Basement Productions	2019-present	https://www.metal-archives.com/bands/Aurora_Ortus/3540480274
Brazil	São Paulo, São Paulo	Active	2008	Power/Groove Metal	Politics, Positivity	Unsigned/independent	2008-present	https://www.metal-archives.com/bands/Auryah/3540382297
Brazil	Joinville, Santa Catarina	Split-up	2000	Black Metal	War, Massive Destruction	Blitzkrieg 41	2000-2004	https://www.metal-archives.com/bands/Ausbomben/27642
Brazil	São José do Rio Preto, São Paulo	Split-up	N/A	Brutal Death Metal	N/A	Unsigned/independent	N/A	https://www.metal-archives.com/bands/Auschwitz/84612
Brazil	Natal, Rio Grande do Norte	Split-up	1988	Thrash Metal	N/A	Unsigned/independent	? (as Maldecir), 1988-?	https://www.metal-archives.com/bands/Auschwitz/28647
